"Faction_key"	"Faction Name"	"initial year"	"WHEN ENDED"
"GL"	"Galatean League"	"3144"	NA
"GV"	"Greater Valkyrate"	"3028"	"3049"
"HL"	"Hanseatic League"	"2891"	"3141"
"I"	"Independent"	NA	NA
"IE"	"Interstellar Expeditions"	"2974"	NA
"IP"	"Illyrian Palatinate"	"2350"	"3063"
"JF"	"JàrnFòlk"	"2500s"	NA
"KP"	"Kittery Prefecture"	"3073"	"3080"
"LA"	"Lyran Alliance"	"3057"	"3084"
"LC"	"Lyran Commonwealth"	"2340"	NA
"LL"	"Lothian League"	"2691"	NA
"LR"	"Liao Republic"	"2189"	"2315"
"MA"	"Mosiro Archipelago"	"3079"	"3081"
"MaC"	"Malthus Confederation"	"3051"	NA
"MarA"	"Marlette Association"	"2278"	"2324"
"MC"	"Malagrotta Cooperative"	"3073"	"3079"
"MCM"	"Marik Commonwealth"	"3079"	"3082"
"MH"	"Marian Hegemony"	"2920"	NA
"MOC"	"Magistracy of Canopus"	"2530"	NA
"MR"	"Marik Republic"	"2238"	"2271"
"MSC"	"Marik-Stewart Commonwealth"	"3082"	"3139"
"MuC"	"Muskegon Coalition"	"2163"	"2317"
"MV"	"Morgraine's Valkyrate"	"3021"	"3028"
"NC"	"Nueva Castile"	"2392"	"3080"
"NCR"	"New Colony Region"	"3057"	"3066"
"NDC"	"New Delphi Compact"	"2602"	NA
"NOC"	"New Oberon Confederation"	"3086"	NA
"OA"	"Outworlds Alliance"	"2413"	"3083"
"OC"	"Oberon Confederation"	"2775"	"3049"
"OMA"	"Ozawa Mercantile Association"	NA	"2303"
"OP"	"Oriente Protectorate"	"3086"	"3139"
"OZP"	"Ohrenson-Zion Province"	"3079"	"3081"
"PD"	"Protectorate of Donegal"	"2313"	"2341"
"PG"	"Principality of Gibson"	"3079"	NA
"PoR"	"Principality of Rasalhague"	"2260"	"2510"
"PR"	"Principality of Regulus"	"3079"	"3086"
"RA"	"Raven Alliance"	"3083"	NA
"RB"	"Republic of the Barrens"	"3087"	NA
"RC"	"Rim Collection"	"3048"	"3148"
"RCM"	"Rim Commonality"	"3075"	"3139"
"RD"	"Rasalhague Dominion"	"3103"	NA
"RF"	"Regulan Fiefs"	"3086"	"3148"
"RFS"	"Regulan Free States"	"3079"	"3086"
"RP"	"Regulan Principality"	"2243"	"2271"
"RS"	"Republic of the Sphere"	"3081"	NA
"RT"	"Rim Territories"	"3087"	NA
"RU"	"Ragnarök Union"	"3084"	NA
"RW"	"Rim Worlds Republic"	"2250"	"2769"
"SA"	"Senate Alliance"	"3135"	"3142"
"SC"	"Stewart Confederation"	"2259"	"2271"
"SCo"	"Sian Commonwealth"	"2260"	"2366"
"SE"	"Scorpion Empire"	"3141"	NA
"SHC"	"Silver Hawks Coalition"	"3079"	NA
"SIC"	"St. Ives Compact"	"3029"	"3063"
"SIMA"	"St. Ives Mercantile Association"	"2245"	"2366"
"SKC"	"Styk Commonality"	"3058"	"3067"
"SLIE"	"Star League-in-Exile"	"2786"	"2801"
"SS"	"Sarna Supremacy"	"2175"	"2366"
"ST"	"Saiph Triumvirate"	"3057"	"3068"
"TA"	"Terran Alliance"	"2086"	"2315"
"TamP"	"Tamar Pact"	"2235"	"2341"
"TC"	"Taurian Concordat"	"2335"	NA
"TCC"	"Terracap Confederation"	"3058"	"3067"
"TD"	"Tortuga Dominions"	"2785"	NA
"TFR"	"Tikonov Free Republic"	"3029"	"3031"
"TGU"	"Tikonov Grand Union"	"2177"	"2366"
"TH"	"Terran Hegemony"	"2316"	"2767"
"THa"	"The Havens"	"3089"	NA
"THW"	"Taurian Homeworlds"	"2253"	"2235"
"TiC"	"Timbuktu Collective"	"3148"	NA
"TP"	"The Protectorate"	"3079"	NA
"TR"	"The Republic Remnant"	"3135"	NA
"U"	"Undiscovered"	NA	NA
"UHC"	"United Hindu Collective"	"2240"	"2540"
"VM"	"Vesper Marches"	"3051"	NA
"WB"	"Word of Blake"	"3052"	NA
"WE"	"Wolf Empire"	"3143"	NA
